Start (s),End (s),Scientific name,Common name,Confidence,origial
0.0,3.0,Branta canadensis,Canada Goose,0.9028538,datasets\CanadaGoose\722721.mp3
3.0,6.0,Branta canadensis,Canada Goose,0.9315642,datasets\CanadaGoose\722721.mp3
6.0,9.0,Branta canadensis,Canada Goose,0.9334498,datasets\CanadaGoose\722721.mp3
9.0,12.0,Branta canadensis,Canada Goose,0.92597574,datasets\CanadaGoose\722721.mp3
12.0,15.0,Branta canadensis,Canada Goose,0.7630488,datasets\CanadaGoose\722721.mp3
15.0,18.0,Branta canadensis,Canada Goose,0.92569244,datasets\CanadaGoose\722721.mp3
18.0,21.0,Branta canadensis,Canada Goose,0.9823339,datasets\CanadaGoose\722721.mp3
21.0,24.0,Branta canadensis,Canada Goose,0.8674716,datasets\CanadaGoose\722721.mp3
24.0,27.0,Branta canadensis,Canada Goose,0.9625971,datasets\CanadaGoose\722721.mp3
27.0,30.0,Branta canadensis,Canada Goose,0.86246747,datasets\CanadaGoose\722721.mp3
30.0,33.0,Branta canadensis,Canada Goose,0.87241155,datasets\CanadaGoose\722721.mp3
33.0,36.0,Branta canadensis,Canada Goose,0.87577707,datasets\CanadaGoose\722721.mp3
36.0,39.0,Branta canadensis,Canada Goose,0.8012783,datasets\CanadaGoose\722721.mp3
0.0,3.0,Branta canadensis,Canada Goose,0.66721094,datasets\CanadaGoose\378738.mp3
0.0,3.0,Botaurus stellaris,Great Bittern,0.10512261,datasets\CanadaGoose\378738.mp3
3.0,6.0,Branta canadensis,Canada Goose,0.8106068,datasets\CanadaGoose\378738.mp3
3.0,6.0,Corvus corax,Common Raven,0.22741786,datasets\CanadaGoose\378738.mp3
6.0,9.0,Branta canadensis,Canada Goose,0.98356307,datasets\CanadaGoose\378738.mp3
9.0,12.0,Branta canadensis,Canada Goose,0.9354433,datasets\CanadaGoose\378738.mp3
9.0,12.0,Corvus corax,Common Raven,0.5060885,datasets\CanadaGoose\378738.mp3
12.0,15.0,Branta canadensis,Canada Goose,0.92107147,datasets\CanadaGoose\378738.mp3
12.0,15.0,Corvus corax,Common Raven,0.2466348,datasets\CanadaGoose\378738.mp3
15.0,18.0,Branta canadensis,Canada Goose,0.6777875,datasets\CanadaGoose\378738.mp3
15.0,18.0,Corvus corax,Common Raven,0.14696075,datasets\CanadaGoose\378738.mp3
18.0,21.0,Branta canadensis,Canada Goose,0.8144229,datasets\CanadaGoose\378738.mp3
18.0,21.0,Corvus corax,Common Raven,0.72477245,datasets\CanadaGoose\378738.mp3
21.0,24.0,Branta canadensis,Canada Goose,0.5184025,datasets\CanadaGoose\378738.mp3
21.0,24.0,Corvus corax,Common Raven,0.17336184,datasets\CanadaGoose\378738.mp3
24.0,27.0,Branta canadensis,Canada Goose,0.96749187,datasets\CanadaGoose\378738.mp3
27.0,30.0,Branta canadensis,Canada Goose,0.6990524,datasets\CanadaGoose\378738.mp3
27.0,30.0,Corvus corax,Common Raven,0.2764797,datasets\CanadaGoose\378738.mp3
30.0,33.0,Branta canadensis,Canada Goose,0.4948473,datasets\CanadaGoose\378738.mp3
30.0,33.0,Corvus corax,Common Raven,0.14521204,datasets\CanadaGoose\378738.mp3
33.0,36.0,Branta canadensis,Canada Goose,0.7851335,datasets\CanadaGoose\378738.mp3
33.0,36.0,Corvus corax,Common Raven,0.4001444,datasets\CanadaGoose\378738.mp3
36.0,39.0,Branta canadensis,Canada Goose,0.42449015,datasets\CanadaGoose\378738.mp3
39.0,42.0,Branta canadensis,Canada Goose,0.5487929,datasets\CanadaGoose\378738.mp3
42.0,45.0,Branta canadensis,Canada Goose,0.80270696,datasets\CanadaGoose\378738.mp3
45.0,48.0,Corvus corax,Common Raven,0.67341614,datasets\CanadaGoose\378738.mp3
45.0,48.0,Branta canadensis,Canada Goose,0.40058443,datasets\CanadaGoose\378738.mp3
48.0,51.0,Branta canadensis,Canada Goose,0.9720999,datasets\CanadaGoose\378738.mp3
48.0,51.0,Corvus corax,Common Raven,0.12547553,datasets\CanadaGoose\378738.mp3
0.0,3.0,Anser anser,Graylag Goose,0.9768337,datasets\GreylagGoose\42015.mp3
3.0,6.0,Anser anser,Graylag Goose,0.98030394,datasets\GreylagGoose\42015.mp3
6.0,9.0,Anser anser,Graylag Goose,0.98799753,datasets\GreylagGoose\42015.mp3
9.0,12.0,Anser anser,Graylag Goose,0.93889666,datasets\GreylagGoose\42015.mp3
9.0,12.0,Ardea cinerea,Gray Heron,0.20357549,datasets\GreylagGoose\42015.mp3
0.0,3.0,Anser albifrons,Greater White-fronted Goose,0.18989547,datasets\GreylagGoose\42007.mp3
3.0,6.0,Anser anser,Graylag Goose,0.25540578,datasets\GreylagGoose\42007.mp3
3.0,6.0,Anser albifrons,Greater White-fronted Goose,0.10064743,datasets\GreylagGoose\42007.mp3
0.0,3.0,Branta leucopsis,Barnacle Goose,0.47207427,datasets\GreylagGoose\42006.mp3
0.0,3.0,Anser albifrons,Greater White-fronted Goose,0.2715424,datasets\GreylagGoose\42006.mp3
0.0,3.0,Anser serrirostris,Tundra Bean-Goose,0.24712195,datasets\GreylagGoose\42006.mp3
3.0,6.0,Anser anser,Graylag Goose,0.3154083,datasets\GreylagGoose\42006.mp3
3.0,6.0,Anser serrirostris,Tundra Bean-Goose,0.13097773,datasets\GreylagGoose\42006.mp3
3.0,6.0,Branta leucopsis,Barnacle Goose,0.102179155,datasets\GreylagGoose\42006.mp3
3.0,6.0,Ardea cinerea,Gray Heron,0.19833721,datasets\GreaterWhite-frontedGoose\597091.mp3
3.0,6.0,Pica pica,Eurasian Magpie,0.15382034,datasets\GreaterWhite-frontedGoose\597091.mp3
6.0,9.0,Anser serrirostris,Tundra Bean-Goose,0.14218767,datasets\GreaterWhite-frontedGoose\597091.mp3
6.0,9.0,Ardea cinerea,Gray Heron,0.118636616,datasets\GreaterWhite-frontedGoose\597091.mp3
6.0,9.0,Anser brachyrhynchus,Pink-footed Goose,0.10650574,datasets\GreaterWhite-frontedGoose\597091.mp3
9.0,12.0,Ardea cinerea,Gray Heron,0.15346806,datasets\GreaterWhite-frontedGoose\597091.mp3
12.0,15.0,Anser serrirostris,Tundra Bean-Goose,0.74100465,datasets\GreaterWhite-frontedGoose\597091.mp3
12.0,15.0,Anser brachyrhynchus,Pink-footed Goose,0.11944858,datasets\GreaterWhite-frontedGoose\597091.mp3
15.0,18.0,Anser serrirostris,Tundra Bean-Goose,0.7103421,datasets\GreaterWhite-frontedGoose\597091.mp3
15.0,18.0,Anser brachyrhynchus,Pink-footed Goose,0.14160201,datasets\GreaterWhite-frontedGoose\597091.mp3
18.0,21.0,Anser serrirostris,Tundra Bean-Goose,0.5091782,datasets\GreaterWhite-frontedGoose\597091.mp3
18.0,21.0,Anser albifrons,Greater White-fronted Goose,0.49840698,datasets\GreaterWhite-frontedGoose\597091.mp3
18.0,21.0,Anser brachyrhynchus,Pink-footed Goose,0.10139939,datasets\GreaterWhite-frontedGoose\597091.mp3
21.0,24.0,Anser serrirostris,Tundra Bean-Goose,0.7739882,datasets\GreaterWhite-frontedGoose\597091.mp3
21.0,24.0,Anser brachyrhynchus,Pink-footed Goose,0.21185705,datasets\GreaterWhite-frontedGoose\597091.mp3
24.0,27.0,Anser brachyrhynchus,Pink-footed Goose,0.14969127,datasets\GreaterWhite-frontedGoose\597091.mp3
24.0,27.0,Anser serrirostris,Tundra Bean-Goose,0.12957294,datasets\GreaterWhite-frontedGoose\597091.mp3
27.0,30.0,Anser serrirostris,Tundra Bean-Goose,0.5610973,datasets\GreaterWhite-frontedGoose\597091.mp3
27.0,30.0,Anser albifrons,Greater White-fronted Goose,0.4116001,datasets\GreaterWhite-frontedGoose\597091.mp3
27.0,30.0,Anser anser,Graylag Goose,0.2770552,datasets\GreaterWhite-frontedGoose\597091.mp3
30.0,33.0,Anser anser,Graylag Goose,0.38560355,datasets\GreaterWhite-frontedGoose\597091.mp3
30.0,33.0,Anser serrirostris,Tundra Bean-Goose,0.25927487,datasets\GreaterWhite-frontedGoose\597091.mp3
0.0,3.0,Limosa limosa,Black-tailed Godwit,0.18337296,datasets\GreaterWhite-frontedGoose\678657.mp3
3.0,6.0,Anser albifrons,Greater White-fronted Goose,0.5868133,datasets\GreaterWhite-frontedGoose\678657.mp3
3.0,6.0,Anser anser,Graylag Goose,0.157598,datasets\GreaterWhite-frontedGoose\678657.mp3
6.0,9.0,Anser albifrons,Greater White-fronted Goose,0.45545024,datasets\GreaterWhite-frontedGoose\678657.mp3
6.0,9.0,Larus argentatus,Herring Gull,0.16813603,datasets\GreaterWhite-frontedGoose\678657.mp3
9.0,12.0,Anser albifrons,Greater White-fronted Goose,0.2612489,datasets\GreaterWhite-frontedGoose\678657.mp3
9.0,12.0,Larus argentatus,Herring Gull,0.13935095,datasets\GreaterWhite-frontedGoose\678657.mp3
9.0,12.0,Picus viridis,Eurasian Green Woodpecker,0.1253196,datasets\GreaterWhite-frontedGoose\678657.mp3
12.0,15.0,Anser albifrons,Greater White-fronted Goose,0.73102224,datasets\GreaterWhite-frontedGoose\678657.mp3
12.0,15.0,Larus argentatus,Herring Gull,0.13228449,datasets\GreaterWhite-frontedGoose\678657.mp3
15.0,18.0,Anser albifrons,Greater White-fronted Goose,0.5737278,datasets\GreaterWhite-frontedGoose\678657.mp3
18.0,21.0,Larus argentatus,Herring Gull,0.5834138,datasets\GreaterWhite-frontedGoose\678657.mp3
21.0,24.0,Anser albifrons,Greater White-fronted Goose,0.53482276,datasets\GreaterWhite-frontedGoose\678657.mp3
21.0,24.0,Larus argentatus,Herring Gull,0.24888538,datasets\GreaterWhite-frontedGoose\678657.mp3
24.0,27.0,Anser albifrons,Greater White-fronted Goose,0.11419597,datasets\GreaterWhite-frontedGoose\678657.mp3
0.0,3.0,Anser albifrons,Greater White-fronted Goose,0.36731386,datasets\GreaterWhite-frontedGoose\636841.mp3
3.0,6.0,Anser albifrons,Greater White-fronted Goose,0.8560747,datasets\GreaterWhite-frontedGoose\636841.mp3
6.0,9.0,Anser albifrons,Greater White-fronted Goose,0.93214005,datasets\GreaterWhite-frontedGoose\636841.mp3
9.0,12.0,Anser albifrons,Greater White-fronted Goose,0.35917762,datasets\GreaterWhite-frontedGoose\636841.mp3
12.0,15.0,Anser albifrons,Greater White-fronted Goose,0.9551447,datasets\GreaterWhite-frontedGoose\636841.mp3
12.0,15.0,Larus argentatus,Herring Gull,0.11488852,datasets\GreaterWhite-frontedGoose\636841.mp3
15.0,18.0,Anser albifrons,Greater White-fronted Goose,0.9452821,datasets\GreaterWhite-frontedGoose\636841.mp3
18.0,21.0,Anser albifrons,Greater White-fronted Goose,0.31154737,datasets\GreaterWhite-frontedGoose\636841.mp3
21.0,24.0,Anser albifrons,Greater White-fronted Goose,0.36992836,datasets\GreaterWhite-frontedGoose\636841.mp3
21.0,24.0,Branta leucopsis,Barnacle Goose,0.2779699,datasets\GreaterWhite-frontedGoose\636841.mp3
0.0,3.0,Prunella modularis,Dunnock,0.65432906,datasets\GreaterWhite-frontedGoose\630517.mp3
3.0,6.0,Anser albifrons,Greater White-fronted Goose,0.28501946,datasets\GreaterWhite-frontedGoose\630517.mp3
3.0,6.0,Anser serrirostris,Tundra Bean-Goose,0.16945809,datasets\GreaterWhite-frontedGoose\630517.mp3
6.0,9.0,Erithacus rubecula,European Robin,0.8437888,datasets\GreaterWhite-frontedGoose\630517.mp3
9.0,12.0,Erithacus rubecula,European Robin,0.24330682,datasets\GreaterWhite-frontedGoose\630517.mp3
12.0,15.0,Erithacus rubecula,European Robin,0.6866824,datasets\GreaterWhite-frontedGoose\630517.mp3
15.0,18.0,Anser albifrons,Greater White-fronted Goose,0.3404629,datasets\GreaterWhite-frontedGoose\630517.mp3
15.0,18.0,Anser serrirostris,Tundra Bean-Goose,0.12243567,datasets\GreaterWhite-frontedGoose\630517.mp3
21.0,24.0,Anthus campestris,Tawny Pipit,0.11111726,datasets\GreaterWhite-frontedGoose\630517.mp3
27.0,30.0,Anser albifrons,Greater White-fronted Goose,0.72891355,datasets\GreaterWhite-frontedGoose\630517.mp3
30.0,33.0,Anser albifrons,Greater White-fronted Goose,0.6159527,datasets\GreaterWhite-frontedGoose\630517.mp3
30.0,33.0,Anser brachyrhynchus,Pink-footed Goose,0.157991,datasets\GreaterWhite-frontedGoose\630517.mp3
30.0,33.0,Erithacus rubecula,European Robin,0.12869495,datasets\GreaterWhite-frontedGoose\630517.mp3
30.0,33.0,Anser serrirostris,Tundra Bean-Goose,0.107954316,datasets\GreaterWhite-frontedGoose\630517.mp3
33.0,36.0,Erithacus rubecula,European Robin,0.24382599,datasets\GreaterWhite-frontedGoose\630517.mp3
33.0,36.0,Anser brachyrhynchus,Pink-footed Goose,0.123185165,datasets\GreaterWhite-frontedGoose\630517.mp3
33.0,36.0,Phoenicurus ochruros,Black Redstart,0.11568633,datasets\GreaterWhite-frontedGoose\630517.mp3
36.0,39.0,Anser albifrons,Greater White-fronted Goose,0.21187475,datasets\GreaterWhite-frontedGoose\630517.mp3
39.0,42.0,Anser albifrons,Greater White-fronted Goose,0.1941349,datasets\GreaterWhite-frontedGoose\630517.mp3
42.0,45.0,Anser albifrons,Greater White-fronted Goose,0.5622433,datasets\GreaterWhite-frontedGoose\630517.mp3
42.0,45.0,Anser serrirostris,Tundra Bean-Goose,0.12415,datasets\GreaterWhite-frontedGoose\630517.mp3
42.0,45.0,Anser brachyrhynchus,Pink-footed Goose,0.11138723,datasets\GreaterWhite-frontedGoose\630517.mp3
42.0,45.0,Anser anser,Graylag Goose,0.108781874,datasets\GreaterWhite-frontedGoose\630517.mp3
45.0,48.0,Anser albifrons,Greater White-fronted Goose,0.5074793,datasets\GreaterWhite-frontedGoose\630517.mp3
54.0,57.0,Anser albifrons,Greater White-fronted Goose,0.9785502,datasets\GreaterWhite-frontedGoose\630517.mp3
54.0,57.0,Anser serrirostris,Tundra Bean-Goose,0.18794452,datasets\GreaterWhite-frontedGoose\630517.mp3
57.0,60.0,Anser albifrons,Greater White-fronted Goose,0.15580185,datasets\GreaterWhite-frontedGoose\630517.mp3
63.0,66.0,Anser albifrons,Greater White-fronted Goose,0.10954197,datasets\GreaterWhite-frontedGoose\630517.mp3
66.0,69.0,Larus argentatus,Herring Gull,0.25462112,datasets\GreaterWhite-frontedGoose\630517.mp3
69.0,72.0,Anser albifrons,Greater White-fronted Goose,0.13601847,datasets\GreaterWhite-frontedGoose\630517.mp3
72.0,75.0,Erithacus rubecula,European Robin,0.6619159,datasets\GreaterWhite-frontedGoose\630517.mp3
75.0,78.0,Anser albifrons,Greater White-fronted Goose,0.11009902,datasets\GreaterWhite-frontedGoose\630517.mp3
84.0,87.0,Erithacus rubecula,European Robin,0.34038636,datasets\GreaterWhite-frontedGoose\630517.mp3
87.0,90.0,Erithacus rubecula,European Robin,0.24650748,datasets\GreaterWhite-frontedGoose\630517.mp3
6.0,9.0,Alopochen aegyptiaca,Egyptian Goose,0.5134361,datasets\EgyptianGoose\474526.mp3
9.0,12.0,Fringilla coelebs,Common Chaffinch,0.11548298,datasets\EgyptianGoose\474526.mp3
12.0,15.0,Alopochen aegyptiaca,Egyptian Goose,0.1812049,datasets\EgyptianGoose\474526.mp3
15.0,18.0,Corvus frugilegus,Rook,0.14975502,datasets\EgyptianGoose\474526.mp3
15.0,18.0,Alopochen aegyptiaca,Egyptian Goose,0.11840118,datasets\EgyptianGoose\474526.mp3
18.0,21.0,Alopochen aegyptiaca,Egyptian Goose,0.10505081,datasets\EgyptianGoose\474526.mp3
0.0,3.0,Aix galericulata,Mandarin Duck,0.45968643,datasets\MandarinDuck\297972.mp3
6.0,9.0,Aix galericulata,Mandarin Duck,0.46329626,datasets\MandarinDuck\297972.mp3
9.0,12.0,Aix galericulata,Mandarin Duck,0.8089228,datasets\MandarinDuck\297972.mp3
12.0,15.0,Emberiza citrinella,Yellowhammer,0.3380015,datasets\MandarinDuck\297972.mp3
15.0,18.0,Aix galericulata,Mandarin Duck,0.66992533,datasets\MandarinDuck\297972.mp3
15.0,18.0,Fulica atra,Eurasian Coot,0.15253128,datasets\MandarinDuck\297972.mp3
18.0,21.0,Aix galericulata,Mandarin Duck,0.4081501,datasets\MandarinDuck\297972.mp3
18.0,21.0,Fulica atra,Eurasian Coot,0.10600302,datasets\MandarinDuck\297972.mp3
21.0,24.0,Aix galericulata,Mandarin Duck,0.7129195,datasets\MandarinDuck\297972.mp3
21.0,24.0,Branta leucopsis,Barnacle Goose,0.33176678,datasets\MandarinDuck\297972.mp3
21.0,24.0,Fulica atra,Eurasian Coot,0.10272043,datasets\MandarinDuck\297972.mp3
24.0,27.0,Aix galericulata,Mandarin Duck,0.63722485,datasets\MandarinDuck\297972.mp3
24.0,27.0,Branta leucopsis,Barnacle Goose,0.2839979,datasets\MandarinDuck\297972.mp3
27.0,30.0,Turdus pilaris,Fieldfare,0.2053763,datasets\MandarinDuck\297972.mp3
30.0,33.0,Branta leucopsis,Barnacle Goose,0.19618824,datasets\MandarinDuck\297972.mp3
30.0,33.0,Aix galericulata,Mandarin Duck,0.15219899,datasets\MandarinDuck\297972.mp3
33.0,36.0,Aix galericulata,Mandarin Duck,0.15582833,datasets\MandarinDuck\297972.mp3
3.0,6.0,Turdus torquatus,Ring Ouzel,0.21217997,datasets\EurasianWigeon\636844.mp3
9.0,12.0,Mareca penelope,Eurasian Wigeon,0.66442895,datasets\EurasianWigeon\636844.mp3
0.0,3.0,Anas platyrhynchos,Mallard,0.62711054,datasets\Mallard\380220.mp3
3.0,6.0,Anas platyrhynchos,Mallard,0.36015403,datasets\Mallard\380220.mp3
6.0,9.0,Pica pica,Eurasian Magpie,0.3885202,datasets\Mallard\380220.mp3
6.0,9.0,Anas platyrhynchos,Mallard,0.17036018,datasets\Mallard\380220.mp3
0.0,3.0,Anas platyrhynchos,Mallard,0.9245803,datasets\Mallard\265972.mp3
3.0,6.0,Anas platyrhynchos,Mallard,0.6385268,datasets\Mallard\265972.mp3
6.0,9.0,Anas platyrhynchos,Mallard,0.13681592,datasets\Mallard\265972.mp3
9.0,12.0,Mareca strepera,Gadwall,0.14807604,datasets\Mallard\265972.mp3
9.0,12.0,Anas platyrhynchos,Mallard,0.14404982,datasets\Mallard\265972.mp3
12.0,15.0,Branta leucopsis,Barnacle Goose,0.16138035,datasets\Mallard\265972.mp3
15.0,18.0,Branta leucopsis,Barnacle Goose,0.2470256,datasets\Mallard\265972.mp3
3.0,6.0,Pyrrhula pyrrhula,Eurasian Bullfinch,0.30202815,datasets\EurasianTeal\877458.mp3
3.0,6.0,Anas crecca,Green-winged Teal,0.28439608,datasets\EurasianTeal\877458.mp3
6.0,9.0,Pyrrhula pyrrhula,Eurasian Bullfinch,0.24089153,datasets\EurasianTeal\877458.mp3
9.0,12.0,Garrulus glandarius,Eurasian Jay,0.1882999,datasets\EurasianTeal\877458.mp3
0.0,3.0,Aythya fuligula,Tufted Duck,0.959975,datasets\CommonPochard\368567.mp3
0.0,3.0,Aythya ferina,Common Pochard,0.15015428,datasets\CommonPochard\368567.mp3
3.0,6.0,Aythya fuligula,Tufted Duck,0.87939095,datasets\CommonPochard\368567.mp3
3.0,6.0,Aythya ferina,Common Pochard,0.10267526,datasets\CommonPochard\368567.mp3
0.0,3.0,Perdix perdix,Gray Partridge,0.9397137,datasets\GreyPartridge\636849.mp3
3.0,6.0,Perdix perdix,Gray Partridge,0.6504492,datasets\GreyPartridge\636849.mp3
6.0,9.0,Perdix perdix,Gray Partridge,0.8464069,datasets\GreyPartridge\636849.mp3
12.0,15.0,Perdix perdix,Gray Partridge,0.88627744,datasets\GreyPartridge\636849.mp3
18.0,21.0,Perdix perdix,Gray Partridge,0.899141,datasets\GreyPartridge\636849.mp3
21.0,24.0,Perdix perdix,Gray Partridge,0.92477787,datasets\GreyPartridge\636849.mp3
24.0,27.0,Perdix perdix,Gray Partridge,0.9961029,datasets\GreyPartridge\636849.mp3
27.0,30.0,Perdix perdix,Gray Partridge,0.9859013,datasets\GreyPartridge\636849.mp3
33.0,36.0,Perdix perdix,Gray Partridge,0.22765599,datasets\GreyPartridge\636849.mp3
36.0,39.0,Perdix perdix,Gray Partridge,0.11428332,datasets\GreyPartridge\636849.mp3
39.0,42.0,Perdix perdix,Gray Partridge,0.38355,datasets\GreyPartridge\636849.mp3
42.0,45.0,Perdix perdix,Gray Partridge,0.9013777,datasets\GreyPartridge\636849.mp3
45.0,48.0,Perdix perdix,Gray Partridge,0.998865,datasets\GreyPartridge\636849.mp3
48.0,51.0,Perdix perdix,Gray Partridge,0.41372365,datasets\GreyPartridge\636849.mp3
48.0,51.0,Hirundo rustica,Barn Swallow,0.11724052,datasets\GreyPartridge\636849.mp3
54.0,57.0,Perdix perdix,Gray Partridge,0.88841677,datasets\GreyPartridge\636849.mp3
57.0,60.0,Perdix perdix,Gray Partridge,0.9825022,datasets\GreyPartridge\636849.mp3
69.0,72.0,Perdix perdix,Gray Partridge,0.86579806,datasets\GreyPartridge\636849.mp3
72.0,75.0,Perdix perdix,Gray Partridge,0.9570136,datasets\GreyPartridge\636849.mp3
81.0,84.0,Perdix perdix,Gray Partridge,0.9969408,datasets\GreyPartridge\636849.mp3
84.0,87.0,Perdix perdix,Gray Partridge,0.99871004,datasets\GreyPartridge\636849.mp3
87.0,90.0,Perdix perdix,Gray Partridge,0.99860114,datasets\GreyPartridge\636849.mp3
93.0,96.0,Perdix perdix,Gray Partridge,0.8091909,datasets\GreyPartridge\636849.mp3
96.0,99.0,Perdix perdix,Gray Partridge,0.97700953,datasets\GreyPartridge\636849.mp3
99.0,102.0,Perdix perdix,Gray Partridge,0.9908372,datasets\GreyPartridge\636849.mp3
102.0,105.0,Perdix perdix,Gray Partridge,0.9923584,datasets\GreyPartridge\636849.mp3
105.0,108.0,Perdix perdix,Gray Partridge,0.98836565,datasets\GreyPartridge\636849.mp3
105.0,108.0,Acrocephalus scirpaceus,Eurasian Reed Warbler,0.14788388,datasets\GreyPartridge\636849.mp3
0.0,3.0,Phasianus colchicus,Ring-necked Pheasant,0.9913901,datasets\CommonPheasant\384627.mp3
0.0,3.0,Coturnix coturnix,Common Quail,0.88615066,datasets\CommonQuail\768504.mp3
0.0,3.0,Motacilla flava,Western Yellow Wagtail,0.100229084,datasets\CommonQuail\768504.mp3
3.0,6.0,Coturnix coturnix,Common Quail,0.7925452,datasets\CommonQuail\768504.mp3
3.0,6.0,Emberiza schoeniclus,Reed Bunting,0.174263,datasets\CommonQuail\768504.mp3
3.0,6.0,Motacilla flava,Western Yellow Wagtail,0.12149879,datasets\CommonQuail\768504.mp3
6.0,9.0,Coturnix coturnix,Common Quail,0.9989895,datasets\CommonQuail\768504.mp3
9.0,12.0,Coturnix coturnix,Common Quail,0.9996928,datasets\CommonQuail\768504.mp3
12.0,15.0,Coturnix coturnix,Common Quail,0.23373604,datasets\CommonQuail\768504.mp3
12.0,15.0,Motacilla flava,Western Yellow Wagtail,0.12514623,datasets\CommonQuail\768504.mp3
0.0,3.0,Linaria cannabina,Eurasian Linnet,0.33924738,datasets\CommonQuail\768503.mp3
3.0,6.0,Coturnix coturnix,Common Quail,0.9986375,datasets\CommonQuail\768503.mp3
6.0,9.0,Coturnix coturnix,Common Quail,0.99960107,datasets\CommonQuail\768503.mp3
9.0,12.0,Coturnix coturnix,Common Quail,0.9998677,datasets\CommonQuail\768503.mp3
12.0,15.0,Motacilla flava,Western Yellow Wagtail,0.10233672,datasets\CommonQuail\768503.mp3
15.0,18.0,Coturnix coturnix,Common Quail,0.9987413,datasets\CommonQuail\768503.mp3
18.0,21.0,Coturnix coturnix,Common Quail,0.99789524,datasets\CommonQuail\768503.mp3
21.0,24.0,Coturnix coturnix,Common Quail,0.99850476,datasets\CommonQuail\768503.mp3
24.0,27.0,Coturnix coturnix,Common Quail,0.99944097,datasets\CommonQuail\768503.mp3
27.0,30.0,Coturnix coturnix,Common Quail,0.99978703,datasets\CommonQuail\768503.mp3
30.0,33.0,Coturnix coturnix,Common Quail,0.9957235,datasets\CommonQuail\768503.mp3
33.0,36.0,Coturnix coturnix,Common Quail,0.9952186,datasets\CommonQuail\768503.mp3
33.0,36.0,Motacilla flava,Western Yellow Wagtail,0.8550647,datasets\CommonQuail\768503.mp3
36.0,39.0,Motacilla flava,Western Yellow Wagtail,0.47873437,datasets\CommonQuail\768503.mp3
36.0,39.0,Emberiza schoeniclus,Reed Bunting,0.11877816,datasets\CommonQuail\768503.mp3
0.0,3.0,Hippolais icterina,Icterine Warbler,0.13340044,datasets\CommonQuail\797565.mp3
0.0,3.0,Acrocephalus schoenobaenus,Sedge Warbler,0.118241124,datasets\CommonQuail\797565.mp3
0.0,3.0,Acrocephalus palustris,Marsh Warbler,0.104743786,datasets\CommonQuail\797565.mp3
3.0,6.0,Cyanistes caeruleus,Eurasian Blue Tit,0.4704518,datasets\CommonQuail\797565.mp3
3.0,6.0,Parus major,Great Tit,0.22032617,datasets\CommonQuail\797565.mp3
3.0,6.0,Lophophanes cristatus,Crested Tit,0.123574026,datasets\CommonQuail\797565.mp3
6.0,9.0,Parus major,Great Tit,0.2477899,datasets\CommonQuail\797565.mp3
6.0,9.0,Cyanistes caeruleus,Eurasian Blue Tit,0.20610486,datasets\CommonQuail\797565.mp3
9.0,12.0,Cyanistes caeruleus,Eurasian Blue Tit,0.121698536,datasets\CommonQuail\797565.mp3
9.0,12.0,Parus major,Great Tit,0.10581579,datasets\CommonQuail\797565.mp3
12.0,15.0,Coturnix coturnix,Common Quail,0.9611341,datasets\CommonQuail\797565.mp3
15.0,18.0,Coturnix coturnix,Common Quail,0.99419457,datasets\CommonQuail\797565.mp3
18.0,21.0,Coturnix coturnix,Common Quail,0.9846223,datasets\CommonQuail\797565.mp3
21.0,24.0,Parus major,Great Tit,0.19950308,datasets\CommonQuail\797565.mp3
24.0,27.0,Cyanistes caeruleus,Eurasian Blue Tit,0.45009732,datasets\CommonQuail\797565.mp3
24.0,27.0,Parus major,Great Tit,0.14150773,datasets\CommonQuail\797565.mp3
27.0,30.0,Parus major,Great Tit,0.22401325,datasets\CommonQuail\797565.mp3
27.0,30.0,Hirundo rustica,Barn Swallow,0.13824879,datasets\CommonQuail\797565.mp3
33.0,36.0,Cyanistes caeruleus,Eurasian Blue Tit,0.114458844,datasets\CommonQuail\797565.mp3
33.0,36.0,Parus major,Great Tit,0.11305944,datasets\CommonQuail\797565.mp3
39.0,42.0,Coturnix coturnix,Common Quail,0.9928306,datasets\CommonQuail\797565.mp3
42.0,45.0,Coturnix coturnix,Common Quail,0.32896268,datasets\CommonQuail\797565.mp3
48.0,51.0,Cyanistes caeruleus,Eurasian Blue Tit,0.33708245,datasets\CommonQuail\797565.mp3
48.0,51.0,Hirundo rustica,Barn Swallow,0.15173891,datasets\CommonQuail\797565.mp3
51.0,54.0,Parus major,Great Tit,0.11954047,datasets\CommonQuail\797565.mp3
57.0,60.0,Anthus trivialis,Tree Pipit,0.11207749,datasets\CommonQuail\797565.mp3
72.0,75.0,Parus major,Great Tit,0.2836681,datasets\CommonQuail\797565.mp3
72.0,75.0,Cyanistes caeruleus,Eurasian Blue Tit,0.24211733,datasets\CommonQuail\797565.mp3
81.0,84.0,Coturnix coturnix,Common Quail,0.95561695,datasets\CommonQuail\797565.mp3
84.0,87.0,Coturnix coturnix,Common Quail,0.8461847,datasets\CommonQuail\797565.mp3
87.0,90.0,Cyanistes caeruleus,Eurasian Blue Tit,0.6258561,datasets\CommonQuail\797565.mp3
87.0,90.0,Parus major,Great Tit,0.22164741,datasets\CommonQuail\797565.mp3
0.0,3.0,Motacilla flava,Western Yellow Wagtail,0.87838715,datasets\CommonQuail\768507.mp3
3.0,6.0,Motacilla flava,Western Yellow Wagtail,0.9883994,datasets\CommonQuail\768507.mp3
